name,id,top_category,rating,review_count,postal_code
Taim Falafel,taim-falafel-new-york,falafel,4,352,10012
,,,,,
Prince Street Pizza,prince-street-pizza-new-york-2,pizza,4.5,827,10012
,,,,,
Cafe Habana,cafe-habana-new-york-4,cuban,4,2838,10012
,,,,,
Habana To-Go,habana-to-go-new-york,mexican,4,247,10012
,,,,,
Siggy's Good Food,siggys-good-food-new-york,mediterranean,4.5,414,10012
,,,,,
Pepe Rosso To Go,pepe-rosso-to-go-new-york,italian,4,307,10012
,,,,,
La Esquina,la-esquina-new-york-4,latin,3.5,1645,10012
,,,,,
Despaña,despaña-new-york-2,spanish,4.5,414,10013
,,,,,
Cuba,cuba-new-york,cuban,4,1163,10012
,,,,,
Parisi Bakery,parisi-bakery-new-york,bakeries,4.5,317,10012
,,,,,
Great Jones Cafe,great-jones-cafe-new-york,cajun,4,441,10012
,,,,,
Cocoron,cocoron-new-york-2,japanese,4,425,10012
,,,,,
by CHLOE,by-chloe-new-york-11,burgers,4,994,10012
,,,,,
The Greek,the-greek-new-york,greek,4.5,329,10013
,,,,,
Gotan,gotan-new-york,cafes,4.5,167,10013
,,,,,
Black Burger,black-burger-new-york,burgers,3.5,153,10013
,,,,,
Distilled,distilled-new-york,newamerican,4,553,10013
,,,,,
Adoro Lei,adoro-lei-new-york,italian,4.5,136,10013
,,,,,
Mooncake Foods,mooncake-foods-new-york,asianfusion,4,458,10013
,,,,,
Ba'al Cafe & Falafel,baal-cafe-and-falafel-new-york,falafel,4,152,10012
,,,,,
Westville Hudson,westville-hudson-new-york,tradamerican,4,309,10013
,,,,,
Chikarashi,chikarashi-new-york,japanese,4,228,10013
,,,,,
El Vez Burrito,el-vez-burrito-new-york-2,mexican,4.5,48,10282
,,,,,
Breakroom,breakroom-new-york,burgers,4.5,1091,10013
,,,,,
Manousheh,manousheh-new-york-2,lebanese,4.5,211,10012
,,,,,
The Spotted Pig,the-spotted-pig-new-york,burgers,3.5,2548,10014
,,,,,
2nd City,2nd-city-new-york,filipino,4.5,205,10014
,,,,,
Pizzetteria Brunetti,pizzetteria-brunetti-new-york,pizza,4,180,10014
,,,,,
Malatesta Trattoria,malatesta-trattoria-new-york,italian,4,982,10014
,,,,,
La Bonbonniere,la-bonbonniere-new-york,breakfast_brunch,4,264,10014
,,,,,
Sanpanino,sanpanino-new-york,sandwiches,4,122,10014
,,,,,
Westville - West,westville-west-new-york,tradamerican,4,847,10014
,,,,,
Extra Virgin,extra-virgin-new-york,seafood,4,996,10014
,,,,,
The Little Owl,the-little-owl-new-york,desserts,4,1112,10014
,,,,,
Hakata Tonton,hakata-tonton-new-york-3,japanese,4,715,10014
,,,,,
Taim,taim-new-york-3,mideastern,4.5,1344,10014
,,,,,
Otto's Tacos,ottos-tacos-new-york-2,mexican,4,154,10014
,,,,,
Bleecker Street Pizza,bleecker-street-pizza-new-york,pizza,4,1446,10014
,,,,,
The Meatball Shop,the-meatball-shop-new-york-2,italian,4,732,10011
,,,,,
Ramen-Ya,ramen-ya-new-york-5,ramen,4,608,10014
,,,,,
Coppelia,coppelia-new-york,cuban,4,857,10011
,,,,,
The Grey Dog,the-grey-dog-new-york-5,breakfast_brunch,4,1126,10011
,,,,,
Cask Bar & Kitchen,cask-bar-and-kitchen-new-york,newamerican,4,1058,10016
,,,,,
Sticky's Finger Joint,stickys-finger-joint-new-york-2,hotdogs,3.5,232,10016
,,,,,
